year,month,date,title,frequency,type,country,field
1937,5,12,George Carlin,annual,birthday,United States,Comedy
1839,5,12,Tôn Thất Thuyết,annual,birthday,Vietnam,
1944,5,14,George Lucas,annual,birthday,United States,Director
1993,5,16,IU,annual,birthday,Korea,Singer
1749,5,17,Edward Jenner,annual,birthday,United Kingdom,Psysician
1970,5,18,Tina Fey,annual,birthday,United States,Comedy
1890,5,19,Hồ Chí Minh,annual,birthday,Vietnam,President
1921,5,21,Andrei Sakharov,annual,birthday,Russia,
1859,5,22,Arthur Conan Doyle,annual,birthday,United Kingdom,Literature
1927,5,26,Nguyễn Thị Bình,annual,birthday,Vietnam,
1908,5,28,Ian Fleming,annual,birthday,United Kingdom,Literature
1819,5,31,Walt Whitman,annual,birthday,United States,Literature
1949,6,1,Children’s Day,annual,celebration,International,
1987,6,7,Daniel Scheinert,annual,birthday,United States,Director
1928,6,13,John Forbes Nash Jr.,annual,birthday,United States,Economist
1215,6,15,Magna Carta was Sealed,annual,milestone,United Kingdom,
1723,6,16,Adam Smith,annual,baptism,United Kingdom,Economist
1963,6,21,Gosho Aoyama,annual,birthday,Japan,Mangaka
1912,6,23,Alan Turing,annual,birthday,United Kingdom,Mathematics
1564,6,24,William Shakespeare,annual,baptism,United Kingdom,Literature
1961,6,25,Ricky Gervais,annual,birthday,United Kingdom,Comedy
1903,6,25,George Orwell,annual,birthday,United Kingdom,Literature
1945,6,26,United Nations,annual,founded,International,
1880,6,27,Helen Keller,annual,birthday,United States,Activist
1972,6,28,Ngô Bảo Châu,annual,birthday,Vietnam,Mathematics
1712,6,28,Jean-Jacques Rousseau,annual,birthday,France,Philosophy
1900,6,29,Antoine de Saint-Exupéry,annual,birthday,France,Literature
1985,6,30,Michael Phelps,annual,birthday,United States,Swimmer
1915,7,1,Nguyễn Văn Linh,annual,birthday,Vietnam,
1822,7,1,Nguyễn Đình Chiểu,annual,birthday,Vietnam,
1908,7,2,Thurgood Marshall,annual,birthday,United States,Supreme Court Justice
1883,7,3,Franz Kafka,annual,birthday,Czech,Literature
1776,7,4,Independence Day,annual,holiday,United States,
1962,7,5,Independence Day,annual,holiday,Algeria,
1975,7,6,50 Cent,annual,birthday,United States,Rapper
2011,7,9,Independence Day,annual,holiday,South Sudan,
1930,7,15,Jacques Derrida,annual,birthday,France,Philosophy
1918,7,18,Nelson Mandela,annual,birthday,South Africa,President
-336,7,20,[General] Alexander the Great,annual,birthday,Macedon,
1969,7,20,First human landing on the Moon,annual,milestone,United States,
1899,7,21,Ernest Hemingway,annual,birthday,United States,Literature
1951,7,21,Robin Williams,annual,birthday,United States,Comedy
1910,7,23,Tạ Quang Bửu,annual,birthday,Vietnam,
1936,7,23,Anthony Kennedy,annual,birthday,United States,Supreme Court Justice
1897,7,24,Amelia Earhart,annual,birthday,United States,Pilot
1928,7,26,Stanley Kubrick,annual,birthday,United States,Director
1976,7,27,Demis Hassabis,annual,birthday,United Kingdom,Data Scientist
1958,7,29,NASA,annual,founded,United States,
1883,7,29,Benito Mussolini,annual,birthday,Italy,Prime Minister
1981,7,29,Fernando Alonso,annual,birthday,Spain,F1 Driver
1863,7,30,Henry Ford,annual,birthday,United States,Engineer
1970,7,30,Christopher Nolan,annual,birthday,United States,Director
1912,7,31,Milton Friedman,annual,birthday,United States,Economist
1965,7,31,J. K. Rowling,annual,birthday,United Kingdom,Literature
1980,7,31,Harry Potter,annual,birthday,United Kingdom,Fictional
1930,8,5,Neil Armstrong,annual,birthday,United States,Astronaut
1950,8,11,Steve Wozniak,annual,birthday,United States,Engineer
1769,8,15,Napoléon Bonaparte,annual,birthday,France,General
1963,8,15,Alejandro González Iñárritu,annual,birthday,United States,Director
1988,8,18,G-Dragon,annual,birthday,Korea,Rapper
1890,8,20,H. P. Lovecraft,annual,birthday,United States,Literature
1920,8,22,Ray Bradbury,annual,birthday,United States,Literature
1973,8,24,Dave Chappelle,annual,birthday,United States,Comedy
1911,8,25,Võ Nguyên Giáp,annual,birthday,Vietnam,General
1917,8,28,Jack Kirby,annual,birthday,United States,Comics
1986,8,29,Hajime Isayama,annual,birthday,Japan,Mangaka
1945,9,2,Independence Day,annual,holiday,Vietnam,
1963,9,3,Malcolm Gladwell,annual,birthday,Canada,Journalism
1872,9,9,Phan Châu Trinh,annual,birthday,Vietnam,
1828,9,9,Leo Tolstoy,annual,birthday,Russia,Literature
1428,9,10,Lê Lợi,annual,birthday,Vietnam,Monarch
1957,9,12,Hans Zimmer,annual,birthday,Germany,Music
1913,9,13,Trần Đại Nghĩa,annual,birthday,Vietnam,
1969,9,14,Bong Joon-ho,annual,birthday,Korea,Director
1890,9,15,Agatha Christie,annual,birthday,United Kingdom,Literature
1956,9,16,David Copperfield,annual,birthday,United States,Magician
1979,9,19,Hermione Granger,annual,birthday,United Kingdom,Fictional
1948,9,20,George R. R. Martin,annual,birthday,United States,Literature
1897,9,25,William Faulkner,annual,birthday,United States,Literature
1947,9,21,Stephen King,annual,birthday,United States,Literature
-63,9,23,Augustus / Octavian,annual,birthday,Italy,Emperor
1914,10,1,Lê Trọng Tấn,annual,birthday,Vietnam,
1990,10,3,German Unity Day,annual,holiday,Germany,
1958,10,5,Neil deGrasse Tyson,annual,birthday,United States,Astrophysics
2013,10,8,World Dyslexia Day,annual,celebration,International,
1964,10,9,Guillermo del Toro,annual,birthday,United States,Director
1911,10,10,Lê Đức Thọ,annual,birthday,Vietnam,
1892,10,12,National Day,annual,holiday,Spain,
1925,10,13,Margaret Thatcher,annual,birthday,United Kingdom,Prime Minister
1844,10,15,Friedrich Nietzsche,annual,birthday,Germany,Philosophy
1854,10,16,Oscar Wilde,annual,birthday,United Kingdom,Literature
1972,10,17,Eminem,annual,birthday,United States,Rapper
1919,10,18,Pierre Trudeau,annual,birthday,Canada,Prime Minister
0,10,20,Women’s Day,annual,celebration,Vietnam,
1833,10,21,Alfred Nobel,annual,birthday,Sweden,Engineer
1954,10,23,Ang Lee,annual,birthday,Taiwan,Director
1881,10,25,Pablo Picasso,annual,birthday,Spain,Painter
1917,10,29,Nam Cao,annual,birthday,Vietnam,Literature
1930,10,31,Michael Collins,annual,birthday,United States,Astronaut
1952,11,2,Larry Fink,annual,birthday,United States,Banker
1913,11,7,Albert Camus,annual,birthday,France,Literature
1974,11,8,Masashi Kishimoto,annual,birthday,Japan,Mangaka
1847,11,8,Bram Stoker,annual,birthday,Japan,Literature
1989,11,9,Fall of the Berlin Wall,annual,milestone,Germany,
1483,11,10,Martin Luther,annual,birthday,Germany,Philosophy
1960,11,10,Neil Gaiman,annual,birthday,United Kingdom,Literature
1850,11,13,Robert Louis Stevenson,annual,birthday,United Kingdom,Literature
1923,11,15,Văn Cao,annual,birthday,Vietnam,Literature
1942,11,17,Martin Scorsese,annual,birthday,United States,Director
0,11,20,Teachers’ Day,annual,celebration,Vietnam,
1925,11,20,Robert F. Kennedy,annual,birthday,United States,Attorney General
1922,11,23,Võ Văn Kiệt,annual,birthday,Vietnam,
1962,11,28,Jon Stewart,annual,birthday,United States,Comedy
1898,11,29,C. S. Lewis,annual,birthday,United Kingdom,Literature
1835,11,30,Mark Twain,annual,birthday,United States,Literature
1940,12,1,Richard Pryor,annual,birthday,United States,Comedy
1933,12,1,Hiroshi Fujimoto,annual,birthday,Japan,Mangaka
1930,12,2,Gary Becker,annual,birthday,United States,Economist
1969,12,4,Jay-Z,annual,birthday,United States,Rapper
1995,12,4,JavaScript,annual,published,United States,Programming Language
1917,12,6,Independence Day,annual,holiday,Finland,
1948,12,10,Human Rights Day,annual,celebration,International,
1953,12,13,Ben Bernanke,annual,birthday,United States,Chair of the Federal Reserve
1971,12,13,J. Y. Park,annual,birthday,United States,Singer
1916,12,14,Shirley Jackson,annual,birthday,United Kingdom,Literature
1775,12,16,Jane Austen,annual,birthday,United Kingdom,Literature
1917,12,17,Arthur C. Clarke,annual,birthday,United Kingdom,Literature
1770,12,17,Ludwig van Beethoven,annual,baptism,Germany,Music
1946,12,18,Steven Spielberg,annual,birthday,United States,Director
1788,12,22,Quang Trung (Nguyễn Huệ)'s Coronation,annual,coronation,Vietnam,Monarch
1912,12,22,Hàn Mặc Tử,annual,birthday,Vietnam,Literature
0,12,24,Christmas Eve,annual,holiday,International,
0,12,25,Christmas Day,annual,holiday,International,
1867,12,26,Phan Bội Châu,annual,birthday,Vietnam,
1571,12,27,Johannes Kepler,annual,birthday,Germany,Mathematics
1969,12,28,Linus Torvalds,annual,birthday,Finland,Engineer
1903,12,28,John von Neumann,annual,birthday,United States,Mathematics
1922,12,28,Stan Lee,annual,birthday,United States,Comics
-1,12,31,International New Year's Eve,annual,holiday,International,
1643,1,4,Isaac Newton,annual,birthday,United Kingdom,Physics
1942,1,8,Stephen Hawking,annual,birthday,United Kingdom,Physics
1775,1,20,André-Marie Ampère,annual,birthday,France,Physics
1736,1,30,James Watt,annual,birthday,United Kingdom,Physics
1564,2,15,Galileo Galilei,annual,birthday,Italy,Physics
1822,2,16,James Thomson,annual,birthday,United Kingdom,Physics
1745,2,18,Alessandro Volta,annual,birthday,Italy,Physics
1857,2,22,Heinrich Hertz,annual,birthday,Germany,Physics
1879,3,14,Albert Einstein,annual,birthday,Germany,Physics
1789,3,16,Georg Ohm,annual,birthday,Germany,Physics
1629,4,14,Christiaan Huygens,annual,birthday,Netherlands,Physics
1896,5,6,Rolf Maximilian Sievert,annual,birthday,Sweden,Physics
1859,5,15,Pierre Curie,annual,birthday,France,Physics
1736,6,14,Charles-Augustin de Coulomb,annual,birthday,France,Physics
1623,6,19,Blaise Pascal,annual,birthday,France,Physics
1824,6,26,"William Thomson, 1st Baron Kelvin",annual,birthday,United Kingdom,Physics
1856,7,10,Nikola Tesla,annual,birthday,United Kingdom,Physics
1887,8,12,Erwin Schrödinger,annual,birthday,Austria,Physics
1844,9,6,John Dalton,annual,birthday,United Kingdom,Physics
1791,9,22,Michael Faraday,annual,birthday,United Kingdom,Physics
1885,10,7,Niels Bohr,annual,birthday,Denmark,Physics
1910,10,19,Subrahmanyan Chandrasekhar,annual,birthday,India,Physics
1804,10,24,Wilhelm Eduard Weber,annual,birthday,Germany,Physics
1867,11,7,Marie Curie,annual,birthday,Poland,Physics
1934,11,9,Carl Sagan,annual,birthday,United States,Physics
1905,11,10,Louis Harold Gray,annual,birthday,United Kingdom,Physics
1889,11,20,Edwin Hubble,annual,birthday,United States,Physics
1701,11,27,Anders Celsius,annual,birthday,Sweden,Physics
1901,12,5,Werner Heisenberg,annual,birthday,Germany,Physics
1816,12,13,Werner von Siemens,annual,birthday,Germany,Physics
1852,12,15,Henri Becquerel,annual,birthday,France,Physics
1797,12,17,Joseph Henry,annual,birthday,United States,Physics
1818,12,24,James Prescott Joule,annual,birthday,United Kingdom,Physics
1902,1,8,Carl Rogers,annual,birthday,United States,Psychology
1878,1,9,John B. Watson,annual,birthday,United States,Psychology
1842,1,11,William James,annual,birthday,United States,Psychology
1934,2,15,Paul Ekman,annual,birthday,United States,Psychology
1934,3,5,Daniel Kahneman,annual,birthday,Israel,Psychology
1904,3,20,B. F. Skinner,annual,birthday,United States,Psychology
1933,3,23,Philip Zimbardo,annual,birthday,United States,Psychology
1856,5,6,Sigmund Freud,annual,birthday,Austria,Psychology
1902,6,15,Erik Erikson,annual,birthday,Germany,Psychology
1896,8,9,Jean Piaget,annual,birthday,Switzerland,Psychology
1933,8,15,Stanley Milgram,annual,birthday,United States,Psychology
1875,7,26,Carl Jung,annual,birthday,Switzerland,Psychology
1890,9,9,Kurt Lewin,annual,birthday,United States,Psychology
1849,9,26,Ivan Pavlov,annual,birthday,Russia,Psychology
1928,12,7,Noam Chomsky,annual,birthday,United States,Psychology
1963,1,21,Hakeem Olajuwon,annual,birthday,Nigeria,Basketball
1934,2,12,Bill Russell,annual,birthday,United States,Basketball
1963,2,17,Michael Jordan,annual,birthday,United States,Basketball
1995,2,19,Nikola Jokić,annual,birthday,Serbia,Basketball
1999,2,28,Luka Dončić,annual,birthday,Slovenia,Basketball
1998,3,3,Jayson Tatum,annual,birthday,United States,Basketball
1972,3,6,Shaquille O'Neal,annual,birthday,United States,Basketball
1993,3,11,Anthony Davis,annual,birthday,United States,Basketball
1988,3,14,Stephen Curry,annual,birthday,United States,Basketball
1994,3,16,Joel Embiid,annual,birthday,United States,Basketball
1947,4,16,Kareem Abdul-Jabbar,annual,birthday,United States,Basketball
1976,4,25,Tim Duncan,annual,birthday,United States,Basketball
1984,5,6,Chris Paul,annual,birthday,United States,Basketball
1978,6,19,Dirk Nowitzki,annual,birthday,Germany,Basketball
1959,8,14,Magic Johnson,annual,birthday,United States,Basketball
1936,8,21,Wilt Chamberlain,annual,birthday,United States,Basketball
1978,8,23,Kobe Bryant,annual,birthday,United States,Basketball
1989,8,26,James Harden,annual,birthday,United States,Basketball
1988,9,29,Kevin Durant,annual,birthday,United States,Basketball
1996,10,24,Jaylen Brown,annual,birthday,United States,Basketball
1988,11,12,Russell Westbrook,annual,birthday,United States,Basketball
1994,12,6,Giannis Antetokounmpo,annual,birthday,Greece,Basketball
1956,12,7,Larry Bird,annual,birthday,United States,Basketball
1984,12,30,LeBron James,annual,birthday,United States,Basketball
2002,1,11,[GM] Nguyễn Anh Khôi,annual,birthday,Vietnam,Chess
1990,1,12,[GM] Sergey Karjakin,annual,birthday,Russia,Chess
1937,1,30,Boris Spassky,annual,birthday,Russia,Chess
1991,1,31,[GM] Ju Wenjun,annual,birthday,China,Chess
1990,2,23,[GM] Nguyễn Ngọc Trường Sơn,annual,birthday,Vietnam,Chess
1994,2,27,[GM] Hou Yifan,annual,birthday,China,Chess
1943,3,9,[GM] Bobby Fischer,annual,birthday,United States,Chess
1987,3,12,[GM] Teimour Radjabov,annual,birthday,Azerbaijan,Chess
1991,3,13,[GM] Lê Quang Liêm,annual,birthday,Vietnam,Chess
1969,3,18,[GM] Vasyl Ivanchuk,annual,birthday,Ukraine,Chess
1921,3,24,Vasily Smyslov,annual,birthday,Russia,Chess
1985,4,12,[GM] Shakhriyar Mamedyarov,annual,birthday,Azerbaijan,Chess
1963,4,13,[GM] Garry Kasparov,annual,birthday,Russia,Chess
1996,4,18,[GM] Daniil Dubov,annual,birthday,Russia,Chess
1969,4,19,[GM] Susan Polgar,annual,birthday,Hungary,Chess
1998,4,26,[GM] Jan-Krzysztof Duda,annual,birthday,Poland,Chess
1836,5,14,Wilhelm Steinitz,annual,birthday,United States,Chess
1901,5,20,Max Euwe,annual,birthday,Netherlands,Chess
1951,5,23,Anatoly Karpov,annual,birthday,Russia,Chess
2006,5,29,[GM] Gukesh Dommaraju,annual,birthday,India,Chess
1974,6,2,[GM] Gata Kamsky,annual,birthday,United States,Chess
1999,6,2,[GM] Wei Yi,annual,birthday,China,Chess
1929,6,17,Tigran Petrosian,annual,birthday,Armenia,Chess
1976,6,17,[GM] Peter Svidler,annual,birthday,Russia,Chess
2003,6,18,[GM] Alireza Firouzja,annual,birthday,Iran,Chess
1968,6,24,[GM] Boris Gelfand,annual,birthday,Israel,Chess
1975,6,25,[GM] Vladimir Kramnik,annual,birthday,Russia,Chess
1994,6,28,[GM] Anish Giri,annual,birthday,Netherlands,Chess
1990,7,14,[GM] Ian Nepomniachtchi,annual,birthday,Russia,Chess
1976,7,23,[GM] Judit Polgár,annual,birthday,Hungary,Chess
1992,7,30,[GM] Fabiano Caruana,annual,birthday,United States,Chess
1911,8,17,[GM] Mikhail Botvinnik,annual,birthday,Russia,Chess
2005,8,10,[GM] R Praggnanandhaa,annual,birthday,India,Chess
2004,9,18,[GM] Nodirbek Abdusattorov,annual,birthday,Uzbekistan,Chess
1982,10,6,[GM] Levon Aronian,annual,birthday,Armenia,Chess
1993,10,9,[GM] Wesley So,annual,birthday,United States,Chess
1990,10,21,[GM] Maxime Vachier-Lagrave,annual,birthday,France,Chess
1996,10,21,[GM] Lê Tuấn Minh,annual,birthday,Vietnam,Chess
1992,10,24,[GM] Ding Liren,annual,birthday,China,Chess
1983,10,31,[GM] Alexander Grischuk,annual,birthday,Russia,Chess
1892,10,31,Alexander Alekhine,annual,birthday,France,Chess
1936,11,9,[GM] Mikhail Tal,annual,birthday,Latvia,Chess
1995,11,9,[GM] Daniel Naroditsky,annual,birthday,United States,Chess
1888,11,19,[GM] José Raúl Capablanca,annual,birthday,Cuba,Chess
1990,11,30,[GM] Magnus Carlsen,annual,birthday,Norway,Chess
1995,12,5,[IM] Levy Rozman,annual,birthday,United States,Chess
2005,12,8,[GM] Javokhir Sindarov,annual,birthday,Uzbekistan,Chess
1987,12,9,[GM] Hikaru Nakamura,annual,birthday,United States,Chess
1969,12,11,[GM] Viswanathan Anand,annual,birthday,India,Chess
1868,12,24,Emanuel Lasker,annual,birthday,Germany,Chess
1899,2,4,SV Werder Bremen,annual,founded,Germany,Football
1948,2,13,1. FC Köln,annual,founded,Germany,Football
1900,2,27,FC Bayern Munich,annual,founded,Germany,Football
1902,3,6,Real Madrid CF,annual,founded,Spain,Football
1899,3,8,Eintracht Frankfurt,annual,founded,Germany,Football
1905,3,10,Chelsea F.C.,annual,founded,United Kingdom,Football
1923,3,10,Villarreal CF,annual,founded,Spain,Football
1905,3,16,1. FSV Mainz 05,annual,founded,Germany,Football
1919,3,18,Valencia CF,annual,founded,Spain,Football
1894,4,16,Manchester City F.C.,annual,founded,United Kingdom,Football
1902,4,24,Manchester United F.C.,annual,founded,United Kingdom,Football
1903,4,26,Atlético Madrid,annual,founded,Spain,Football
2009,5,19,RB Leipzig,annual,founded,Germany,Football
1904,5,21,FIFA,annual,founded,France,Football
1950,5,26,Olympique Lyonnais,annual,founded,France,Football
1892,6,3,Liverpool F.C.,annual,founded,United Kingdom,Football
1901,6,24,Brighton & Hove Albion F.C.,annual,founded,United Kingdom,Football
1899,7,1,TSG 1899 Hoffenheim,annual,founded,Germany,Football
1904,7,1,Bayer 04 Leverkusen,annual,founded,Germany,Football
1900,7,5,West Ham United F.C.,annual,founded,United Kingdom,Football
1898,7,18,Athletic Bilbao,annual,founded,Spain,Football
1970,8,12,Paris Saint-Germain FC,annual,founded,France,Football
1924,8,23,AS Monaco FC,annual,founded,France,Football
1899,8,31,Olympique de Marseille,annual,founded,France,Football
1882,9,5,Tottenham Hotspur F.C.,annual,founded,United Kingdom,Football
1905,9,10,Crystal Palace F.C.,annual,founded,United Kingdom,Football
1887,9,29,Hamburger SV,annual,founded,Germany,Football
1919,10,17,Leeds United F.C.,annual,founded,United Kingdom,Football
1900,10,28,RCD Espanyol,annual,founded,Spain,Football
1874,11,21,Aston Villa F.C.,annual,founded,United Kingdom,Football
1899,11,29,FC Barcelona,annual,founded,Spain,Football
1886,12,11,Arsenal F.C.,annual,founded,United Kingdom,Football
1909,12,19,Borussia Dortmund,annual,founded,Germany,Football
1986,1,4,James Milner,annual,birthday,United Kingdom,Football
1990,1,4,Toni Kroos,annual,birthday,Germany,Football
1991,1,7,Eden Hazard,annual,birthday,Belgium,Football
1986,1,8,David Silva,annual,birthday,Spain,Football
1978,1,9,Gennaro Gattuso,annual,birthday,Italy,Football
1987,1,11,Jamie Vardy,annual,birthday,United Kingdom,Football
1992,1,11,Dani Carvajal,annual,birthday,Spain,Football
1997,1,13,Luis Díaz,annual,birthday,Colombia,Football
1995,1,16,Minamino Takumi,annual,birthday,Japan,Football
1985,1,16,Pablo Zabaleta,annual,birthday,Argentina,Football
1971,1,18,Pep Guardiola,annual,birthday,Spain,Football
1984,1,23,Arjen Robben,annual,birthday,Netherlands,Football
1987,1,24,Luis Suárez,annual,birthday,Uruguay,Football
1942,1,25,Eusébio,annual,birthday,Portugal,Football
1980,1,25,Xavi,annual,birthday,Spain,Football
1963,1,26,José Mourinho,annual,birthday,Portugal,Football
1978,1,28,Jamie Carragher,annual,birthday,United Kingdom,Football
1978,1,28,Gianluigi Buffon,annual,birthday,Italy,Football
1915,2,1,Stanley Matthews,annual,birthday,United Kingdom,Football
1969,2,1,Gabriel Batistuta,annual,birthday,Argentina,Football
1987,2,2,Gerard Piqué,annual,birthday,Spain,Football
1985,2,5,Cristiano Ronaldo,annual,birthday,Portugal,Football
1992,2,5,Neymar,annual,birthday,Brazil,Football
1995,2,8,Joshua Kimmich,annual,birthday,Germany,Football
1993,2,9,Endō Wataru,annual,birthday,Japan,Football
1951,2,14,Kevin Keegan,annual,birthday,United Kingdom,Football
1988,2,14,Ángel Di María,annual,birthday,Argentina,Football
1967,2,18,Roberto Baggio,annual,birthday,Italy,Football
1975,2,18,Gary Neville,annual,birthday,United Kingdom,Football
1981,2,23,Gareth Barry,annual,birthday,United Kingdom,Football
1983,2,26,Pepe,annual,birthday,Portugal,Football
1951,3,4,Kenny Dalglish,annual,birthday,United Kingdom,Football
1994,3,11,Andy Robertson,annual,birthday,United Kingdom,Football
1978,3,11,Didier Drogba,annual,birthday,Ivory Coast,Football
1986,3,17,Edin Džeko,annual,birthday,Bosnia and Herzegovina,Football
1976,3,19,Alessandro Nesta,annual,birthday,Italy,Football
1984,3,20,Fernando Torres,annual,birthday,Spain,Football
1980,3,21,Ronaldinho,annual,birthday,Brazil,Football
1963,3,21,Ronald Koeman,annual,birthday,Netherlands,Football
1961,3,21,Lothar Matthäus,annual,birthday,Germany,Football
1973,3,23,Jerzy Dudek,annual,birthday,Poland,Football
1986,3,27,Manuel Neuer,annual,birthday,Germany,Football
1986,3,30,Sergio Ramos,annual,birthday,Spain,Football
1981,3,30,Park Ji-sung,annual,birthday,Korea,Football
1976,4,1,Clarence Seedorf,annual,birthday,Netherlands,Football
2003,4,4,Harvey Elliott,annual,birthday,United Kingdom,Football
1975,4,9,Robbie Fowler,annual,birthday,United Kingdom,Football
1992,4,10,Sadio Mané,annual,birthday,Senegal,Football
1986,4,10,Vincent Kompany,annual,birthday,Belgium,Football
1991,4,11,Thiago Alcântara,annual,birthday,Spain,Football
1978,4,13,Carles Puyol,annual,birthday,Spain,Football
1983,4,13,Claudio Bravo,annual,birthday,Chile,Football
1960,4,16,Rafael Benítez,annual,birthday,Spain,Football
1972,4,19,Rivaldo,annual,birthday,Brazil,Football
1992,4,21,Isco,annual,birthday,Spain,Football
1982,4,22,Kaká,annual,birthday,Brazil,Football
1976,4,24,Steve Finnan,annual,birthday,Ireland,Football
1947,4,25,Johan Cruyff,annual,birthday,Netherlands,Football
1993,4,25,Raphaël Varane,annual,birthday,France,Football
1975,5,2,David Beckham,annual,birthday,United Kingdom,Football
1987,5,4,Cesc Fàbregas,annual,birthday,Spain,Football
1999,5,7,Cody Gakpo,annual,birthday,Netherlands,Football
1960,5,8,Franco Baresi,annual,birthday,Italy,Football
