year,month,date,title,frequency,type,country,field
1902,1,8,Carl Rogers,annual,birthday,United States,Psychology
1878,1,9,John B. Watson,annual,birthday,United States,Psychology
1842,1,11,William James,annual,birthday,United States,Psychology
1934,2,15,Paul Ekman,annual,birthday,United States,Psychology
1934,3,5,Daniel Kahneman,annual,birthday,Israel,Psychology
1904,3,20,B. F. Skinner,annual,birthday,United States,Psychology
1933,3,23,Philip Zimbardo,annual,birthday,United States,Psychology
1856,5,6,Sigmund Freud,annual,birthday,Austria,Psychology
1902,6,15,Erik Erikson,annual,birthday,Germany,Psychology
1896,8,9,Jean Piaget,annual,birthday,Switzerland,Psychology
1933,8,15,Stanley Milgram,annual,birthday,United States,Psychology
1875,7,26,Carl Jung,annual,birthday,Switzerland,Psychology
1890,9,9,Kurt Lewin,annual,birthday,United States,Psychology
1849,9,26,Ivan Pavlov,annual,birthday,Russia,Psychology
1928,12,7,Noam Chomsky,annual,birthday,United States,Psychology
